"FullName","Length","CreationTime","LastWriteTime"
"C:\Windows\WinSxS\Manifests\amd64_microsoft.data.enti..ild.tasks.resources_b03f5f7f11d50a3a_4.0.15912.0_en-us_c815d80f72e1f904.manifest","152","4/1/2024 3:06:15 AM","4/1/2024 3:06:15 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft.data.entity.build.tasks_b03f5f7f11d50a3a_4.0.15912.0_none_e9010b44876ffc65.manifest","398","4/1/2024 2:21:56 AM","4/1/2024 2:21:56 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft.data.entity.build.tasks_b03f5f7f11d50a3a_4.0.15920.100_none_ddda6b1cc57ec33d.manifest","440","2/18/2026 1:08:00 AM","2/18/2026 1:08:00 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft.internal.tasks.dataflow_b77a5c561934e089_4.0.15912.0_none_35aba0c865d42727.manifest","493","4/1/2024 2:21:56 AM","4/1/2024 2:21:56 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft.internal.tasks.dataflow_b77a5c561934e089_4.0.15920.100_none_2a8500a0a3e2edff.manifest","539","2/18/2026 1:07:57 AM","2/18/2026 1:07:57 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-client-li..iption-tasks-client_31bf3856ad364e35_10.0.26100.1_none_db40e609cfa8bcec.manifest","1133","4/1/2024 2:21:53 AM","4/1/2024 2:21:53 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-onecore-c..olicy-userdatatasks_31bf3856ad364e35_10.0.26100.1_none_5449f6ea0d12cc5c.manifest","522","4/1/2024 2:21:43 AM","4/1/2024 2:21:43 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-onecore-c..s-policy-chatsystem_31bf3856ad364e35_10.0.26100.1_none_44c327821b28bf10.manifest","551","4/1/2024 2:21:43 AM","4/1/2024 2:21:43 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-onecore-c..userdatataskssystem_31bf3856ad364e35_10.0.26100.1_none_1e572df31d9f78c5.manifest","526","4/1/2024 2:21:43 AM","4/1/2024 2:21:43 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-onecore-c..yaccess-policy-chat_31bf3856ad364e35_10.0.26100.1_none_215cf282253dc7a3.manifest","585","4/1/2024 2:21:43 AM","4/1/2024 2:21:43 AM"
